Date,Ticker,Exchange,Open,High,Low,Close,Adj Close,Volume
2008-01-29,AACG,NASDAQ,9.5,9.99,8.57,8.75,0.702589,1489000
2008-01-30,AACG,NASDAQ,8.75,9.15,8.3,8.5,0.682515,219000
2008-01-31,AACG,NASDAQ,8.49,10.3,8.49,9.55,0.766826,182300
2008-02-01,AACG,NASDAQ,9.93,9.94,9.5,9.51,0.763614,28200
2008-02-04,AACG,NASDAQ,9.5,9.71,9.5,9.5,0.762811,8300
2008-02-05,AACG,NASDAQ,9.5,9.5,9.03,9.11,0.731496,29500
2008-02-06,AACG,NASDAQ,9,9.43,8.67,9,0.72266300000000006,16000
2008-02-07,AACG,NASDAQ,9,9.5,9,9.4,0.754782,6000
2008-02-08,AACG,NASDAQ,9.12,9.29,9,9.01,0.723466,7900
2008-02-11,AACG,NASDAQ,9.05,9.17,9,9.04,0.725875,3500
2008-02-12,AACG,NASDAQ,9.05,9.17,9,9.1,0.730693,28900
2008-02-13,AACG,NASDAQ,9.01,9.05,9,9.01,0.723466,13200
2008-02-14,AACG,NASDAQ,9.09,9.09,9,9.06,0.727481,13100
2008-02-15,AACG,NASDAQ,9.01,9.07,9,9,0.72266300000000006,10000
2008-02-19,AACG,NASDAQ,9.2,9.25,9.1,9.2,0.738723,3100
2008-02-20,AACG,NASDAQ,9.2,9.61,9.2,9.61,0.771644,23000
2008-02-21,AACG,NASDAQ,9.53,10.3,9.53,9.9,0.79493,86500
2008-02-22,AACG,NASDAQ,9.72,9.72,9.62,9.62,0.772447,3200
2008-02-25,AACG,NASDAQ,9.55,9.55,9.3,9.48,0.761206,6600
